name;size;diameter;density;averageClustering;averagePathLength;maxDegree
a-dios-por-razon-de-estado;18;1;1;1;1;17
a-maria-el-corazon;14;1;1;1;1;13
afectos-de-odio-y-amor;14;1;1;1;1;13
amor-honor-y-poder;9;1;1;1;1;8
andromeda-y-perseo;16;1;1;1;1;15
casa-con-dos-puertas-mala-es-de-guardar;10;1;1;1;1;9
el-ano-santo-de-roma;18;1;1;1;1;17
el-cordero-de-isaias;18;1;1;1;1;17
el-diablo-mudo-primera-version;13;1;1;1;1;12
el-diablo-mudo-segunda-version;14;1;1;1;1;13
el-divino-jason;8;1;1;1;1;7
el-divino-orfeo;17;1;1;1;1;16
el-faetonte;20;1;1;1;1;19
el-galan-fantasma;12;1;1;1;1;11
el-gran-teatro-del-mundo;11;1;1;1;1;10
el-indulto-general;17;1;1;1;1;16
el-jardin-de-falerina;23;2;0.9762845849802372;0.9819311123658948;1.023715415019763;22
el-medico-de-su-honra;17;2;0.875;0.9244990303813831;1.125;16
el-monstruo-de-los-jardines;19;2;0.8830409356725146;0.9312005503955969;1.1169590643274854;18
el-nuevo-hospicio-de-pobres;19;1;1;1;1;18
el-santo-rey-don-fernando-primera-parte;13;1;1;1;1;12
el-socorro-general;14;1;1;1;1;13
el-veneno-y-la-triaca;11;1;1;1;1;10
la-aurora-en-copacabana;28;2;0.8306878306878307;0.9107893233980191;1.1693121693121693;27
la-dama-duende;9;2;0.9722222222222222;0.9722222222222222;1.0277777777777777;8
la-devocion-de-la-cruz;18;2;0.8169934640522876;0.910166630754866;1.1830065359477124;17
la-devocion-de-la-misa;12;1;1;1;1;11
la-fiera-el-rayo-y-la-piedra;24;2;0.9528985507246377;0.9630399285433615;1.0471014492753623;23
la-hidalga-del-valle;10;1;1;1;1;9
la-humildad-coronada-de-las-plantas;12;1;1;1;1;11
la-inmunidad-del-sagrado;16;1;1;1;1;15
la-nave-del-mercader;15;1;1;1;1;14
la-piel-de-gedeon;17;1;1;1;1;16
la-primer-flor-del-carmelo;15;1;1;1;1;14
la-protestacion-de-la-fe;15;1;1;1;1;14
la-segunda-esposa;13;1;1;1;1;12
la-vida-es-sueno;13;1;1;1;1;12
la-vina-del-senor;18;1;1;1;1;17
las-ordenes-militares;19;1;1;1;1;18
las-visiones-de-la-muerte;11;1;1;1;1;10
loa-a-el-ano-santo-de-roma;12;1;1;1;1;11
loa-a-el-divino-orfeo;13;1;1;1;1;12
loa-a-fieras-afemina-amor;28;1;1;1;1;27
loa-en-metafora-de-la-piadosa-hermandad-del-refugio;8;1;1;1;1;7
loa-para-el-gran-teatro-del-mundo;10;1;1;1;1;9
loa-para-la-humildad-coronada-de-las-plantas;9;1;1;1;1;8
loa-para-psiquis-y-cupido;10;1;1;1;1;9
los-encantos-de-la-culpa;13;1;1;1;1;12
no-hay-instante-sin-milagro;17;1;1;1;1;16
primero-y-segundo-isaac;21;1;1;1;1;20
psiquis-y-cupido-que-escribio-para-esta-villa-de-madrid;15;1;1;1;1;14
quien-hallara-mujer-fuerte;21;1;1;1;1;20
suenos-hay-que-verdad-son;27;1;1;1;1;26
triunfar-muriendo;13;1;1;1;1;12
