name;size;diameter;density;averageClustering;averagePathLength;maxDegree
alberti-im-suff;14;2;0.5274725274725275;0.9642857142857142;1.0588235294117647;9
alberti-brot;49;3;0.3129251700680272;0.8497673123239152;1.751700680272109;40
anzengruber-der-pfarrer-von-kirchfeld;22;3;0.4025974025974026;0.778463455736183;1.748917748917749;18
anzengruber-das-vierte-gebot;32;4;0.2903225806451613;0.7734991961858381;1.8528225806451613;24
anzengruber-der-gwissenswurm;15;2;0.4;0.7852188552188551;1.4683544303797469;12
anzengruber-heimgfunden;30;3;0.3103448275862069;0.8429579951638776;2.0344827586206895;17
anzengruber-die-kreuzelschreiber;23;3;0.5770750988142292;0.8438809459337122;1.5256916996047432;20
anzengruber-der-meineidbauer;22;4;0.2597402597402597;0.8339703226066862;2.038961038961039;14
arnim-halle;81;4;0.145679012345679;0.881061107909532;2.022530864197531;61
arnim-jerusalem;72;3;0.20852895148669798;0.8949685978800661;1.8507005253940456;52
arnim-marino-caboga;22;2;0.6017316017316018;0.805738937704882;1.2722513089005236;19
arnim-das-loch;22;3;0.3593073593073593;0.8504138018843903;1.7532467532467533;18
auenbrugger-der-rauchfangkehrer;20;3;0.45263157894736844;0.8268016297428062;1.5947368421052632;18
avenarius-faust;95;3;0.148488241881299;0.9516021045030356;1.81531393568147;77
ayrenhoff-virginia;21;3;0.48095238095238096;0.8257055502853823;1.5380952380952382;18
ayrenhoff-der-postzug;11;2;0.7636363636363637;0.8207792207792209;1.2363636363636363;10
ball-die-nase-des-michelangelo;11;2;0.6181818181818182;0.8632034632034632;1.3818181818181818;10
bauernfeld-grossjaehrig;7;2;0.8095238095238095;0.9238095238095239;1.1904761904761905;6
bauernfeld-buergerlich-und-romantisch;13;3;0.5256410256410257;0.7429181929181929;1.5384615384615385;10
bauernfeld-industrie-und-herz;12;3;0.3787878787878788;0.8152777777777778;1.7727272727272727;9
beer-der-paria;10;3;0.4444444444444444;0.6157142857142857;1.6222222222222222;8
beer-struensee;57;5;0.12280701754385964;0.8183610716648031;2.6467065868263475;19
benedix-die-hochzeitsreise;5;2;0.8;0.8666666666666666;1.2;4
benedix-die-luegnerin;8;2;0.8214285714285714;0.9404761904761905;1.1785714285714286;7
benkowitz-die-jubelfeier-der-hoelle;24;3;0.3079710144927536;0.7985825517075517;1.9202898550724639;17
berg-kalisch-berlin-wie-es-weint-und-lacht;35;4;0.19663865546218487;0.6933825406005857;2.0541082164328657;20
bernard-faust;22;3;0.4458874458874459;0.8004584210079567;1.5757575757575757;19
birch-pfeiffer-die-walpurgisnacht;26;4;0.2;0.8020790612895876;2.0553846153846154;19
birch-pfeiffer-in-der-heimath;18;3;0.5294117647058824;0.8290388623721957;1.522875816993464;15
birch-pfeiffer-pfeffer-roesel;40;4;0.41410256410256413;0.8337975207059822;1.714102564102564;32
birch-pfeiffer-vatersorgen;13;2;0.5512820512820513;0.8634698634698634;1.4487179487179487;12
birch-pfeiffer-johannes-gutenberg;14;3;0.4065934065934066;0.6446145124716552;1.6703296703296704;10
bleibtreu-ein-faust-der-that;23;2;0.8300395256916996;0.9106144225945008;1.1699604743083003;22
bleibtreu-weltgericht;49;2;0.5051020408163265;0.9154854731600831;1.4948979591836735;48
blumenthal-im-weissen-roessl;36;3;0.5555555555555556;0.8939895618607304;1.4151260504201681;33
bodmer-odoardo-galotti-vater-der-emilia;6;3;0.3333333333333333;0.3888888888888889;1.7;3
borkenstein-der-bookesbeutel;9;2;0.8333333333333334;0.9523809523809523;1.1666666666666667;8
bossdorf-de-rode-uennerrock;5;1;1;1;1;4
bossdorf-bahnmeister-dood;4;1;1;1;1;3
brachvogel-narziss;35;3;0.39663865546218485;0.8587271120532088;1.6436974789915966;28
brandes-ariadne-auf-naxos;3;2;0.6666666666666666;0;1.3333333333333333;2
brandes-ino;9;4;0.3888888888888889;0.6555555555555556;1.9444444444444444;6
braun-von-braunthal-faust;36;4;0.23809523809523808;0.8225994684328017;2.2111111111111112;22
braun-von-braunthal-das-nachtlager-von-granada;11;2;0.6909090909090909;0.8796536796536796;1.309090909090909;10
brawe-brutus;7;2;0.6190476190476191;0.7095238095238096;1.380952380952381;6
brawe-der-freigeist;6;3;0.4666666666666667;0.3888888888888889;1.6666666666666667;4
brentano-ponce-de-leon;37;4;0.23123123123123124;0.7644662259751774;1.895973154362416;27
brentano-die-gruendung-prags;70;2;0.6488612836438924;0.8873262538626239;1.3511387163561077;69
bretzner-belmont-und-constanze;11;2;0.509090909090909;0.6634199134199135;1.2432432432432432;8
bunge-der-trompeter-von-saekkingen;19;2;0.631578947368421;0.8760369661298455;1.368421052631579;18
busoni-turandot;16;3;0.6333333333333333;0.9259615384615384;1.3916666666666666;14
baeuerle-die-buerger-in-wien;19;2;0.5321637426900585;0.857196819348522;1.4678362573099415;18
baeuerle-doktor-fausts-mantel;27;3;0.2792022792022792;0.7276554237338552;1.8061538461538462;21
buechner-dantons-tod;103;4;0.10184656386826575;0.8982694477249267;2.460857409133271;43
