name;size;diameter;density;averageClustering;averagePathLength;maxDegree
aeschylus-persians;6;2;0.4;0.5;1.4;4
aeschylus-libation-bearers;8;2;0.75;0.8833333333333333;1.25;7
aeschylus-agamemnon;7;2;0.5238095238095238;0.6904761904761906;1.4761904761904763;6
aeschylus-suppliant-women;8;2;0.5714285714285714;0.9285714285714286;1.4285714285714286;7
aeschylus-seven-against-thebes;8;2;0.6785714285714286;0.8422619047619048;1.3214285714285714;7
aeschylus-eumenides;7;2;0.6190476190476191;0.7714285714285714;1.1333333333333333;5
aeschylus-prometheus-bound;7;2;0.47619047619047616;0.8238095238095238;1.5238095238095237;6
aristophanes-lysistrata;26;4;0.28;0.8684403315982263;1.9753846153846153;20
aristophanes-knights;7;2;0.7619047619047619;0.8476190476190476;1.2380952380952381;6
aristophanes-acharnians;26;2;0.2246153846153846;0.8577669766131305;1.7753846153846153;25
aristophanes-wasps;10;2;0.6666666666666666;0.8633333333333333;1.3333333333333333;9
aristophanes-birds;24;2;0.29347826086956524;0.8608946608946609;1.6798418972332017;22
aristophanes-frogs;15;2;0.4666666666666667;0.8997150997150997;1.5333333333333334;14
aristophanes-clouds;16;3;0.48333333333333334;0.8912393162393162;1.6;13
aristophanes-plutus;13;3;0.32051282051282054;0.7344322344322344;1.8717948717948718;9
aristophanes-peace;20;2;0.3631578947368421;0.9260484544695071;1.6368421052631579;19
aristophanes-thesmophoriazusae;13;2;0.4230769230769231;0.8105561105561105;1.5769230769230769;12
aristophanes-ecclesiazusae;17;3;0.2426470588235294;0.8635854341736694;1.8026315789473684;7
euripides-electra;8;2;0.6071428571428571;0.819047619047619;1.3928571428571428;7
euripides-helen;10;3;0.6;0.7504761904761905;1.4444444444444444;8
euripides-hecuba;9;2;0.4444444444444444;0.7433862433862434;1.4285714285714286;7
euripides-bacchae;9;3;0.5277777777777778;0.7677248677248678;1.5;7
euripides-suppliants;10;2;0.4;0.7483333333333333;1.6;9
euripides-the-trojan-women;11;2;0.36363636363636365;0.6926406926406926;1.4594594594594594;8
euripides-iphigenia-in-aulis;10;2;0.6666666666666666;0.8395238095238096;1.3333333333333333;9
euripides-ion;9;2;0.5555555555555556;0.782010582010582;1.2857142857142858;7
euripides-iphigenia-in-tauris;8;2;0.5357142857142857;0.818452380952381;1.4642857142857142;7
euripides-rhesus;13;2;0.358974358974359;0.8922743922743923;1.641025641025641;12
euripides-orestes;12;2;0.4393939393939394;0.8206589706589705;1.5606060606060606;11
euripides-phoenissae;11;3;0.4727272727272727;0.7660173160173162;1.5636363636363637;9
euripides-heracles;9;2;0.4444444444444444;0.7391534391534391;1.5555555555555556;8
sophocles-trachiniae;12;3;0.36363636363636365;0.8226851851851852;1.7878787878787878;9
sophocles-electra;7;2;0.7142857142857143;0.8571428571428571;1.2857142857142858;6
sophocles-oedipus-tyrannus;9;2;0.5;0.791005291005291;1.5;8
sophocles-philoctetes;6;2;0.8666666666666667;0.8999999999999999;1.1333333333333333;5
sophocles-oedipus-at-colonus;9;3;0.5277777777777778;0.7248677248677249;1.5;7
sophocles-antigone;10;2;0.4222222222222222;0.8706349206349205;1.5777777777777777;9
sophocles-ichneutae;7;1;1;1;1;6
sophocles-ajax;11;2;0.5272727272727272;0.8054834054834056;1.4727272727272727;10
