name;size;diameter;density;averageClustering;averagePathLength;maxDegree
terence-eunuchus;13;3;0.44871794871794873;0.6757020757020757;1.6282051282051282;10
terence-phormio;13;3;0.3974358974358974;0.6772283272283273;1.6923076923076923;9
terence-adelphi;13;3;0.38461538461538464;0.7681318681318682;1.7692307692307692;9
terence-hecyra;11;3;0.4727272727272727;0.7989177489177489;1.5636363636363637;8
terence-heautontimorumenos;12;2;0.48484848484848486;0.8157407407407408;1.5151515151515151;10
terence-andria;12;3;0.5;0.747420634920635;1.5151515151515151;10
seneca-octavia;8;1;1;1;1;7
seneca-hercules-furens;7;1;1;1;1;6
seneca-thyestes;9;1;1;1;1;8
seneca-troades;12;1;1;1;1;11
seneca-agamemnon;11;1;1;1;1;10
seneca-phoenissae;7;1;1;1;1;6
seneca-hercules-oetaeus;10;1;1;1;1;9
seneca-oedipus;9;1;1;1;1;8
seneca-phaedra;6;1;1;1;1;5
seneca-medea;6;1;1;1;1;5
plautus-pseudolus;11;3;0.4;0.8036796536796537;1.709090909090909;8
plautus-casina;8;2;0.6428571428571429;0.8446428571428573;1.3571428571428572;7
plautus-poenulus;13;3;0.5384615384615384;0.7428127428127428;1.4871794871794872;11
plautus-miles-gloriosus;13;3;0.3717948717948718;0.6025641025641025;1.705128205128205;10
plautus-bacchides;12;3;0.48484848484848486;0.6970238095238095;1.5757575757575757;8
plautus-curculio;10;3;0.6222222222222222;0.8109523809523809;1.4;8
plautus-trinummus;10;3;0.6;0.7476190476190476;1.4444444444444444;7
plautus-menaechmi;14;2;0.3956043956043956;0.752184720041863;1.6043956043956045;13
plautus-amphitruo;10;2;0.7333333333333333;0.8238095238095239;1.2666666666666666;9
plautus-stichus;11;4;0.32727272727272727;0.5393939393939393;2.036363636363636;5
plautus-cistellaria;15;4;0.38095238095238093;0.7936507936507937;1.8461538461538463;9
plautus-epidicus;14;3;0.2967032967032967;0.7654761904761905;1.9230769230769231;9
plautus-rudens;17;3;0.4411764705882353;0.7110608345902465;1.5955882352941178;13
plautus-aulularia;11;4;0.45454545454545453;0.7831168831168831;1.7272727272727273;7
plautus-captivi;13;3;0.32051282051282054;0.7854090354090354;1.6818181818181819;9
plautus-asinaria;11;4;0.4727272727272727;0.7095238095238096;1.690909090909091;8
plautus-persa;8;2;0.8214285714285714;0.881547619047619;1.1785714285714286;7
plautus-mercator;10;4;0.35555555555555557;0.5285714285714286;1.9111111111111112;7
plautus-mostellaria;14;4;0.2967032967032967;0.7273242630385487;1.956043956043956;9
plautus-truculentus;10;3;0.6;0.7857142857142857;1.4444444444444444;8
