name;size;diameter;density;averageClustering;averagePathLength;maxDegree
andreyev-ne-ubiy;23;3;0.5889328063241107;0.9121040025468615;1.4150197628458498;21
andreyev-mysl;15;3;0.37142857142857144;0.810899470899471;1.9142857142857144;9
andreyev-k-zvezdam;13;2;0.9487179487179487;0.9580419580419581;1.0512820512820513;12
afinogenov-mashenka;12;2;0.9545454545454546;0.9599326599326599;1.0454545454545454;11
babel-marija;22;3;0.3203463203463203;0.8762714558169105;1.9090909090909092;14
babel-zakat;37;3;0.3918918918918919;0.8985210910715256;1.6741741741741742;32
blok-balaganchik;16;2;0.6;0.9428571428571428;1.4;15
blok-neznakomka;34;2;0.47950089126559714;0.9540999121389289;1.5204991087344029;33
blok-korol-na-ploschadi;29;4;0.15517241379310345;0.6592202816340746;1.793103448275862;12
bulgakov-ivan-vasilevich;16;2;0.8666666666666667;0.9400183150183151;1.1333333333333333;15
bulgakov-beg;40;3;0.39871794871794874;0.9163799599443884;1.6128205128205129;38
bulgakov-zojkina-kvartira;27;2;0.6809116809116809;0.9489458689458691;1.3190883190883191;26
bulgakov-poslednie-dni;36;4;0.2714285714285714;0.8441951595589366;2.011111111111111;21
bulgakov-poloumnyj-zhurden;22;2;0.8441558441558441;0.9220779220779222;1.155844155844156;21
bulgakov-dni-turbinyh;29;4;0.41133004926108374;0.9057496066677235;1.896551724137931;19
bulgakov-kabala-svjatosh;24;2;0.6521739130434783;0.8582529922123913;1.3478260869565217;23
bulgakov-vojna-i-mir;96;4;0.1094298245614035;0.9002276508313339;2.3144736842105265;55
bulgakov-batum;36;3;0.37936507936507935;0.8777708584216356;1.5574387947269304;31
bulgakov-adam-i-eva;13;2;0.8461538461538461;0.9160839160839161;1.1538461538461537;12
glinka-velzen;22;3;0.22077922077922077;0.6482683982683982;1.9264069264069263;15
gogol-igroki;9;2;0.6944444444444444;0.8642857142857143;1.3055555555555556;8
gogol-utro-delovogo-cheloveka;5;2;0.5;0.4333333333333334;1.5;4
gogol-teatralnyi-razezd;99;3;0.06431663574520717;0.674074074074074;1.0403726708074534;19
gogol-tjazhba;3;2;0.6666666666666666;0;1.3333333333333333;2
gogol-otryvok;4;2;0.6666666666666666;0.5833333333333333;1.3333333333333333;3
gogol-zhenitba;12;3;0.6363636363636364;0.7344576719576721;1.4242424242424243;9
gogol-revizor;31;3;0.4946236559139785;0.8233755852077901;1.5195402298850575;26
gogol-lakeiskaja;9;3;0.3611111111111111;0.5079365079365079;1.8055555555555556;7
gorky-egor-bulychov-i-drugie;22;3;0.4199134199134199;0.7775605336434214;1.6233766233766234;17
gorky-na-dne;17;1;1;1;1;16
