name;size;diameter;density;averageClustering;averagePathLength;maxDegree
king-lear;33;3;0.3787878787878788;0.7827658634819761;1.696969696969697;25
pericles;54;3;0.12089447938504543;0.8283388619739556;2.231974921630094;32
love-s-labor-s-lost;21;2;0.8047619047619048;0.9138204989598178;1.1952380952380952;19
the-comedy-of-errors;19;3;0.6491228070175439;0.8861229242034196;1.3801169590643274;17
all-s-well-that-ends-well;29;3;0.312807881773399;0.7927751391106788;1.7275132275132274;22
a-midsummer-night-s-dream;25;2;0.6833333333333333;0.8698697895634229;1.3166666666666667;24
romeo-and-juliet;38;3;0.352773826458037;0.7948706809058226;1.662162162162162;31
julius-caesar;51;4;0.23686274509803923;0.8561205153044662;1.780128794848206;43
henry-vi-part-3;49;4;0.2304421768707483;0.8334123440596695;1.9583333333333333;38
king-john;28;3;0.4074074074074074;0.8231571939930113;1.6613756613756614;24
the-winter-s-tale;35;4;0.27899159663865547;0.7515114417745998;1.9554367201426024;20
othello;28;2;0.4312169312169312;0.8397703863140474;1.5356125356125356;26
henry-v;48;5;0.18262411347517732;0.8028933595725593;2.2682701202590194;29
henry-iv-part-i;36;4;0.23333333333333334;0.795171340050081;2.1441281138790034;20
timon-of-athens;68;4;0.17647058823529413;0.8753677185390373;2.0873573309920985;50
titus-andronicus;27;3;0.5242165242165242;0.8479031392942343;1.4871794871794872;23
twelfth-night;18;2;0.6601307189542484;0.842122583299054;1.3398692810457515;17
macbeth;45;3;0.1797979797979798;0.8006458896760853;2.0323232323232325;31
the-merchant-of-venice;24;3;0.3804347826086957;0.7825383358471593;1.75;17
henry-viii;48;5;0.1799645390070922;0.8149494003970269;2.1333333333333333;27
the-merry-wives-of-windsor;23;2;0.7193675889328063;0.8667284933101327;1.2806324110671936;21
the-tempest;19;3;0.6666666666666666;0.8580778870252554;1.368421052631579;16
richard-iii;59;3;0.25891291642314435;0.8186528098440645;1.7869623655913978;44
as-you-like-it;28;4;0.291005291005291;0.7792977330792458;1.9074074074074074;18
much-ado-about-nothing;26;3;0.4676923076923077;0.8336570556801562;1.606153846153846;20
henry-iv-part-ii;50;7;0.1893877551020408;0.808002437189746;2.5558510638297873;30
coriolanus;67;4;0.16327453640886477;0.7967102632609578;1.9774147044690054;54
richard-ii;36;4;0.2650793650793651;0.7416325217497985;1.988888888888889;26
measure-for-measure;24;3;0.37318840579710144;0.7762846816639386;1.6775362318840579;20
antony-and-cleopatra;74;4;0.14735283228433912;0.8154578727081226;2.080954243253813;47
hamlet;38;3;0.3129445234708393;0.8572610250990879;1.7354196301564722;32
henry-vi-part-2;72;4;0.1905320813771518;0.8376425765792725;2.1125827814569536;42
henry-vi-part-1;63;3;0.19098822324628775;0.8179372793578219;2.091653865847414;37
the-taming-of-the-shrew;38;3;0.3157894736842105;0.8661745681667606;1.9502133712660028;24
troilus-and-cressida;34;4;0.31194295900178254;0.7971273646016112;1.8068181818181819;24
two-gentlemen-of-verona;17;3;0.49264705882352944;0.7248277865924924;1.5514705882352942;14
cymbeline;41;3;0.23780487804878048;0.8896406213479385;1.9079320113314449;27
