name;size;diameter;density;averageClustering;averagePathLength;maxDegree
galdos-electra;15;3;0.5333333333333333;0.7921386021386021;1.4761904761904763;13
galdos-casandra;17;3;0.49264705882352944;0.7452694364459069;1.5661764705882353;13
galdos-perfecta;17;3;0.5514705882352942;0.8289491554197436;1.4558823529411764;15
lorca-zapatera;17;3;0.4852941176470588;0.8736185383244208;1.5441176470588236;14
lorca-rosita;20;2;0.6105263157894737;0.8927342394447658;1.3894736842105264;19
lorca-yerma;16;2;0.6166666666666667;0.832042957042957;1.2952380952380953;14
lorca-bodas;27;2;0.5441595441595442;0.8779770803162619;1.4558404558404558;26
lorca-bernarda;19;2;0.8947368421052632;0.9473684210526315;1.105263157894737;18
dicenta-juan-jose;16;3;0.48333333333333334;0.8348439754689754;1.6083333333333334;12
echegaray-mancha;9;2;0.8888888888888888;0.9153439153439152;1.1111111111111112;8
echegaray-arrastrarse;17;3;0.5220588235294118;0.8246325569854982;1.4926470588235294;15
valera-atahualpa;12;3;0.4090909090909091;0.6527777777777778;1.7272727272727273;8
valera-asclepigenia;8;3;0.5357142857142857;0.7833333333333333;1.5;6
clarin-teresa;10;2;0.9333333333333333;0.9428571428571428;1.0666666666666667;9
unamuno-esfinge;12;2;0.6515151515151515;0.8119107744107744;1.3484848484848484;11
unamuno-fedra;6;2;0.7333333333333333;0.8388888888888889;1.2666666666666666;5
munoz-pergaminos;27;2;0.7492877492877493;0.9070705547176137;1.2507122507122508;26
munoz-refugio;17;2;0.9411764705882353;0.9551820728291316;1.0588235294117647;16
munoz-conferencia;12;1;1;1;1;11
munoz-ortiz;16;2;0.9916666666666667;0.9916666666666667;1.0083333333333333;15
valle-luces;55;3;0.1872053872053872;0.8840461139059995;1.9299663299663299;46
valle-romance;47;3;0.4125809435707678;0.8382753406697143;1.6706753006475485;40
valle-aguila;71;5;0.12595573440643862;0.84136186188296;2.503420523138833;30
valle-divinas-palabras;38;3;0.2503556187766714;0.7707443544713805;1.8463726884779517;29
valle-cara;46;3;0.24057971014492754;0.8574058487196483;1.922705314009662;34
