turn,card1,card2,chooser,metric,value1,value2,div1,div2,winner
1,21;gogol-the-government-inspector;30;3;0.5;0.88;1.52;26,13;goethe-gotz-von-berlichingen-with-the-iron-hand;79;5;0.09;0.87;2.49;46,1,maxDegree,26.0,46.0,0.46875,20.46875,2
2,11;behn-the-rover-parts-one-and-two;43;3;0.38;0.84;1.62;41,15;inchbald-lovers-vows;15;3;0.54;0.85;1.53;12,2,averagePathLength,1.62,1.53,0.1287500000000006,0.21875000000000067,2
3,25;caragiale-a-lost-letter;17;3;0.73;0.91;1.28;15,28;galdos-electra;15;3;0.53;0.85;1.48;13,2,averagePathLength,1.28,1.48,0.46875000000000067,0.2687500000000007,1
4,23;kivi-heath-cobblers;25;4;0.39;0.85;1.71;21,8;barca-life-is-a-dream;18;3;0.4;0.84;1.66;14,1,diameter,4.0,3.0,0.875,-0.125,1
5,29;schnitzler-la-ronde;11;5;0.22;0.15;2.81;3,14;tieck-puss-in-boots;48;3;0.45;0.87;1.61;43,1,diameter,5.0,3.0,1.875,-0.125,1
6,22;madach-the-tragedy-of-man;103;3;0.23;0.97;1.78;99,30;chekhov-the-cherry-orchard;14;2;0.73;0.86;1.28;12,1,maxDegree,99.0,12.0,73.46875,-13.53125,1
7,4;aristophanes-the-frogs;16;3;0.29;0.82;1.78;14,2;sophocles-antigone;9;3;0.44;0.78;1.58;7,1,averageClustering,0.82,0.78,-0.01906249999999987,-0.059062499999999796,1
8,9;racine-andromaque;8;3;0.43;0.64;1.79;5,16;goethe-faust-part-one;115;3;0.2;0.98;1.7;67,1,density,0.43,0.2,0.013749999999999929,-0.21625000000000005,1
9,1;aeschylus-the-persians;6;2;0.53;0.76;1.47;5,32;beckett-waiting-for-godot;5;2;0.8;0.87;1.2;4,1,averagePathLength,1.47,1.2,0.2787500000000007,0.5487500000000007,2
10,26;tolstoy-the-power-of-darkness;24;4;0.25;0.79;2.11;14,7;jonson-volpone-or-the-fox;26;3;0.5;0.86;1.66;21,2,averagePathLength,2.11,1.66,-0.3612499999999992,0.08875000000000077,2
11,27;strindberg-miss-julie;3;1;1;1;1;2,12;goldoni-the-servant-of-two-masters;13;3;0.59;0.87;1.42;11,2,averagePathLength,1.0,1.42,0.7487500000000007,0.32875000000000076,1
12,31;brecht-mother-courage-and-her-children;35;3;0.24;0.89;1.95;30,18;mitford-rienzi;34;2;0.31;0.87;1.69;33,1,maxDegree,30.0,33.0,4.46875,7.46875,2
13,10;moliere-the-miser;13;2;0.62;0.83;1.39;12,20;grabbe-napoleon-or-the-hundred-days;259;6;0.09;0.96;2.83;106,2,size,13.0,259.0,-24.21875,221.78125,2
14,19;hugo-hernani-or-castilian-honour;30;3;0.29;0.89;1.92;24,17;pushkin-boris-godunov;79;6;0.11;0.92;3.03;29,2,size,30.0,79.0,-7.21875,41.78125,2
15,3;euripides-electra;9;2;0.5;0.8;1.5;8,6;shakespeare-hamlet;34;3;0.34;0.86;1.7;30,2,maxDegree,8.0,30.0,-17.53125,4.46875,2
16,5;marlowe-doctor-faustus-quarto-of-1616;46;4;0.16;0.91;1.91;42,24;ibsen-a-dolls-house;9;2;0.44;0.81;1.56;8,2,averagePathLength,1.91,1.56,-0.16124999999999923,0.18875000000000064,2
17,25;caragiale-a-lost-letter;17;3;0.73;0.91;1.28;15,21;gogol-the-government-inspector;30;3;0.5;0.88;1.52;26,2,maxDegree,15.0,26.0,-10.53125,0.46875,2
18,28;galdos-electra;15;3;0.53;0.85;1.48;13,13;goethe-gotz-von-berlichingen-with-the-iron-hand;79;5;0.09;0.87;2.49;46,2,size,15.0,79.0,-22.21875,41.78125,2
19,23;kivi-heath-cobblers;25;4;0.39;0.85;1.71;21,11;behn-the-rover-parts-one-and-two;43;3;0.38;0.84;1.62;41,2,maxDegree,21.0,41.0,-4.53125,15.46875,2
20,8;barca-life-is-a-dream;18;3;0.4;0.84;1.66;14,15;inchbald-lovers-vows;15;3;0.54;0.85;1.53;12,2,averagePathLength,1.66,1.53,0.08875000000000077,0.21875000000000067,2
21,29;schnitzler-la-ronde;11;5;0.22;0.15;2.81;3,1;aeschylus-the-persians;6;2;0.53;0.76;1.47;5,2,averagePathLength,2.81,1.47,-1.0612499999999994,0.2787500000000007,2
22,14;tieck-puss-in-boots;48;3;0.45;0.87;1.61;43,32;beckett-waiting-for-godot;5;2;0.8;0.87;1.2;4,2,averagePathLength,1.61,1.2,0.1387500000000006,0.5487500000000007,2
23,22;madach-the-tragedy-of-man;103;3;0.23;0.97;1.78;99,26;tolstoy-the-power-of-darkness;24;4;0.25;0.79;2.11;14,2,diameter,3.0,4.0,-0.125,0.875,2
24,30;chekhov-the-cherry-orchard;14;2;0.73;0.86;1.28;12,7;jonson-volpone-or-the-fox;26;3;0.5;0.86;1.66;21,2,averagePathLength,1.28,1.66,0.46875000000000067,0.08875000000000077,1
25,4;aristophanes-the-frogs;16;3;0.29;0.82;1.78;14,31;brecht-mother-courage-and-her-children;35;3;0.24;0.89;1.95;30,1,averageClustering,0.82,0.89,-0.01906249999999987,0.05093750000000019,2
26,2;sophocles-antigone;9;3;0.44;0.78;1.58;7,18;mitford-rienzi;34;2;0.31;0.87;1.69;33,2,maxDegree,7.0,33.0,-18.53125,7.46875,2
27,9;racine-andromaque;8;3;0.43;0.64;1.79;5,10;moliere-the-miser;13;2;0.62;0.83;1.39;12,2,averagePathLength,1.79,1.39,-0.04124999999999934,0.3587500000000008,2
28,16;goethe-faust-part-one;115;3;0.2;0.98;1.7;67,20;grabbe-napoleon-or-the-hundred-days;259;6;0.09;0.96;2.83;106,2,size,115.0,259.0,77.78125,221.78125,2
29,27;strindberg-miss-julie;3;1;1;1;1;2,19;hugo-hernani-or-castilian-honour;30;3;0.29;0.89;1.92;24,2,averageClustering,1.0,0.89,0.16093750000000018,0.05093750000000019,1
30,12;goldoni-the-servant-of-two-masters;13;3;0.59;0.87;1.42;11,17;pushkin-boris-godunov;79;6;0.11;0.92;3.03;29,1,averagePathLength,1.42,3.03,0.32875000000000076,-1.2812499999999991,1
31,30;chekhov-the-cherry-orchard;14;2;0.73;0.86;1.28;12,3;euripides-electra;9;2;0.5;0.8;1.5;8,1,averagePathLength,1.28,1.5,0.46875000000000067,0.2487500000000007,1
32,7;jonson-volpone-or-the-fox;26;3;0.5;0.86;1.66;21,6;shakespeare-hamlet;34;3;0.34;0.86;1.7;30,1,averagePathLength,1.66,1.7,0.08875000000000077,0.04875000000000074,1
33,27;strindberg-miss-julie;3;1;1;1;1;2,5;marlowe-doctor-faustus-quarto-of-1616;46;4;0.16;0.91;1.91;42,1,averagePathLength,1.0,1.91,0.7487500000000007,-0.16124999999999923,1
34,19;hugo-hernani-or-castilian-honour;30;3;0.29;0.89;1.92;24,24;ibsen-a-dolls-house;9;2;0.44;0.81;1.56;8,1,averageClustering,0.89,0.81,0.05093750000000019,-0.02906249999999977,1
35,12;goldoni-the-servant-of-two-masters;13;3;0.59;0.87;1.42;11,25;caragiale-a-lost-letter;17;3;0.73;0.91;1.28;15,1,averagePathLength,1.42,1.28,0.32875000000000076,0.46875000000000067,2
36,17;pushkin-boris-godunov;79;6;0.11;0.92;3.03;29,21;gogol-the-government-inspector;30;3;0.5;0.88;1.52;26,2,maxDegree,29.0,26.0,3.46875,0.46875,1
37,30;chekhov-the-cherry-orchard;14;2;0.73;0.86;1.28;12,28;galdos-electra;15;3;0.53;0.85;1.48;13,1,averagePathLength,1.28,1.48,0.46875000000000067,0.2687500000000007,1
38,3;euripides-electra;9;2;0.5;0.8;1.5;8,13;goethe-gotz-von-berlichingen-with-the-iron-hand;79;5;0.09;0.87;2.49;46,1,averagePathLength,1.5,2.49,0.2487500000000007,-0.7412499999999995,1
39,7;jonson-volpone-or-the-fox;26;3;0.5;0.86;1.66;21,23;kivi-heath-cobblers;25;4;0.39;0.85;1.71;21,1,averagePathLength,1.66,1.71,0.08875000000000077,0.03875000000000073,1
40,6;shakespeare-hamlet;34;3;0.34;0.86;1.7;30,11;behn-the-rover-parts-one-and-two;43;3;0.38;0.84;1.62;41,1,maxDegree,30.0,41.0,4.46875,15.46875,2
41,27;strindberg-miss-julie;3;1;1;1;1;2,8;barca-life-is-a-dream;18;3;0.4;0.84;1.66;14,2,averagePathLength,1.0,1.66,0.7487500000000007,0.08875000000000077,1
42,5;marlowe-doctor-faustus-quarto-of-1616;46;4;0.16;0.91;1.91;42,15;inchbald-lovers-vows;15;3;0.54;0.85;1.53;12,1,maxDegree,42.0,12.0,16.46875,-13.53125,1
43,19;hugo-hernani-or-castilian-honour;30;3;0.29;0.89;1.92;24,29;schnitzler-la-ronde;11;5;0.22;0.15;2.81;3,1,averageClustering,0.89,0.15,0.05093750000000019,-0.6890624999999998,1
44,24;ibsen-a-dolls-house;9;2;0.44;0.81;1.56;8,1;aeschylus-the-persians;6;2;0.53;0.76;1.47;5,1,averagePathLength,1.56,1.47,0.18875000000000064,0.2787500000000007,2
